from_stop_id,to_stop_id,transfer_type,min_transfer_time
3926387,2155,2,246
4044994,2062,2,241
3687252,2062,2,191
3764808,2331,2,216
3749721,2342,2,239
5231613,1955,2,189
4037790,1773,2,191
3765256,2210,2,390
5710038,2155,2,314
5675643,2210,2,286
4996980,2111,2,195
5018181,2028,2,279
1833,2371,2,72
4016744,1803,2,239
4037797,2433,2,264
4024821,2283,2,286
5018399,2036,2,241
3764807,1773,2,270
3813548,1751,2,225
4016362,2383,2,286
3764845,2155,2,308
3765193,1955,2,355
4473121,2433,2,230
4037250,2116,2,225
4016741,1933,2,275
4459250,1864,2,216
3690068,2429,2,213
2342,4473168,2,207
6423508,2371,2,247
2342,4473169,2,269
3748069,2429,2,225
4036206,2210,2,373
3807576,1773,2,226
3926287,1832,2,280
5454893,2288,2,226
3673587,1955,2,198
3877770,2258,2,290
4037173,1832,2,210
4459260,1955,2,189
4037216,2028,2,259
4726944,1955,2,310
3695558,2288,2,226
5775568,2283,2,211
3764980,1955,2,383
4109728,2035,2,194
3747869,2111,2,209
3765194,1955,2,400
4036193,2116,2,302
2149,2147,2,20
3343786,2111,2,180
4037213,2216,2,196
5775569,1887,2,299
4472664,1803,2,207
5018338,2036,2,241
4037196,2288,2,245
4022913,1803,2,296
4022887,1980,2,222
4037187,2111,2,195
1964,2036,2,89
4472674,1755,2,227
3812919,1892,2,272
1834,2371,2,90
1946,2200,2,300
3672235,2429,2,213
3764984,2111,2,216
4037198,2155,2,246
3764979,2210,2,198
6309089,2258,2,303
6423508,1832,2,247
3687089,2036,2,294
4037171,1832,2,247
3893408,2544,2,210
4037208,2083,2,210
4009366,2283,2,415
5018386,2036,2,213
4022940,2258,2,275
1968,2036,2,360
5709887,2116,2,225
3764660,1892,2,212
3672168,2429,2,213
4726713,1773,2,226
3685860,2035,2,201
4036764,1864,2,216
4037791,2498,2,269
5018399,2288,2,223
3748093,2062,2,205
4472665,1803,2,269
4023962,2283,2,278
3748056,2111,2,264
5018182,2028,2,257
